model,phase,task,class,stage,experiment,metric,value,n,source_path,source_md5,notes
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L58_wrote_plus_all,-0.19835,20,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L58_wrote_minus_all,5.187743,28,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L58_confirmed,2.943538,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L58_wrote_plus_confirmed,-0.19835,20,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L58_wrote_minus_confirmed,5.187743,28,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L58_all,0.003312,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L58_wrote_plus_all,0.00141,20,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L58_wrote_minus_all,0.004671,28,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L58_confirmed,0.003312,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L58_wrote_plus_confirmed,0.00141,20,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L58_wrote_minus_confirmed,0.004671,28,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_total_dla_L58_all,2.94685,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_total_dla_L58_wrote_plus_all,-0.19694,20,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_total_dla_L58_wrote_minus_all,5.192414,28,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L60_all,1.405385,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L60_wrote_plus_all,1.808525,20,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L60_wrote_minus_all,1.117429,28,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L60_confirmed,1.405385,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L60_wrote_plus_confirmed,1.808525,20,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L60_wrote_minus_confirmed,1.117429,28,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L60_all,0.003881,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L60_wrote_plus_all,0.00682,20,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L60_wrote_minus_all,0.001782,28,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L60_confirmed,0.003881,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L60_wrote_plus_confirmed,0.00682,20,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L60_wrote_minus_confirmed,0.001782,28,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_total_dla_L60_all,1.409267,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_total_dla_L60_wrote_plus_all,1.815345,20,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_total_dla_L60_wrote_minus_all,1.119211,28,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L0_all,0.037579,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L1_all,0.001962,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L2_all,0.00665,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L3_all,-6.7e-05,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L4_all,0.001223,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L5_all,0.010294,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L6_all,0.003785,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L7_all,-0.000515,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L8_all,-0.019958,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L9_all,0.019527,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L10_all,-0.004223,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L11_all,-0.006237,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L12_all,-0.004331,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L13_all,0.004492,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L14_all,-0.000342,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L15_all,-0.008827,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L16_all,-0.006788,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L17_all,-0.019365,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L18_all,0.004996,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L19_all,0.003433,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L20_all,-0.003044,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L21_all,-0.00715,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L22_all,-0.000973,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L23_all,-0.014327,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L24_all,0.01199,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L25_all,-0.023037,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L26_all,0.02604,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L27_all,-0.08591,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L28_all,-0.090317,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L29_all,0.057185,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L30_all,-0.038231,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L31_all,0.023804,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L32_all,0.093175,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L33_all,-0.007931,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L34_all,-0.111931,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L35_all,0.1012,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L36_all,0.039281,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L37_all,0.08656,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L38_all,0.074548,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L39_all,0.275746,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L40_all,0.233717,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L41_all,-0.12761,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L42_all,0.1694,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L43_all,0.96446,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L44_all,0.179919,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L45_all,0.590977,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L46_all,-0.080944,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L47_all,-0.132058,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L48_all,-0.03059,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L49_all,-0.046652,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L50_all,0.272475,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L51_all,0.096569,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L52_all,0.211892,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L53_all,-0.392921,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L54_all,0.321575,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L55_all,4.480775,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L56_all,-1.449058,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L57_all,-0.152844,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L59_all,2.701242,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L61_all,1.404888,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L0_all,0.553533,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L1_all,0.167469,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L2_all,-0.008127,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L3_all,0.024379,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L4_all,0.19645,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L5_all,0.010179,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L6_all,-0.018267,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L7_all,-0.011944,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L8_all,-0.036465,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L9_all,-0.007279,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L10_all,-0.012758,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L11_all,-0.001173,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L12_all,-0.006265,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L13_all,0.051267,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L14_all,-0.025208,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L15_all,0.00805,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L16_all,-0.007035,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L17_all,-0.005294,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L18_all,-0.005848,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L19_all,-0.008029,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L20_all,-0.007102,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L21_all,-0.0024,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L22_all,0.001058,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L23_all,0.000194,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L24_all,0.000258,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L25_all,0.002533,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L26_all,-0.002258,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L27_all,-0.002746,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L28_all,-0.001185,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L29_all,-0.000123,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L30_all,-0.002277,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L31_all,-2.9e-05,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L32_all,-0.002938,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_attn_dla_L33_all,-0.001952,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,non_named
