path,md5,size,category,schema_kind,model,phase,task,class,stage,n_cases,n_metrics,note
Gemma/discovery_DET_correct_deepsign/s09_judge/det_4x4_correct_deepsign_judge_crossdomain.json,a3e4bfc02f21f9d2c99e9b61a794b18d,42230,results,meta_results,Gemma-3-27B,discovery,det,correct,s09_judge,2,23,
Gemma/discovery_DET_error/det_4x4_error_sites.json,45b8feaf6c05e6a9b3c20daa51e59c5c,732,config_sites,,Gemma-3-27B,discovery,det,error,root,,0,
Gemma/discovery_DET_error/det_4x4_error_targets.json,5da6c1013605cd9d0b0ed5f9ae28659f,2282,config_targets,,Gemma-3-27B,discovery,det,error,root,,0,
Gemma/discovery_DET_error/groups_gemma_det.json,9e3ed03ff397602931901910b0151cd6,539,config_sites,,Gemma-3-27B,discovery,det,error,root,,0,
Gemma/discovery_DET_error/s01_logit_lens/det_4x4_error_expA_logit_lens.json,70c5fd768950f66f12bf7ea6d27ebd6c,156643,results,lens_standard,Gemma-3-27B,discovery,det,error,s01_logit_lens,92,12,
Gemma/discovery_DET_error/s02_dla/det_4x4_error_expB_dla.json,890308edeea95c479260361f169dda30,966544,results,dla_standard,Gemma-3-27B,discovery,det,error,s02_dla,92,181,
Gemma/discovery_DET_error/s05_ablations/det_4x4_error_expD_prime_mlp_mean_ablation.json,04943b159257c180867ae6c6b2ddd033,564110,results,s05_ablations,Gemma-3-27B,discovery,det,error,s05_ablations,92,11,
Gemma/discovery_DET_error/s05_ablations/det_4x4_error_expE_prime_joint_mean_ablation.json,13f9debd2acba18424bc50651c2c7503,78264,results,s05_joint,Gemma-3-27B,discovery,det,error,s05_ablations,93,3,
Gemma/discovery_DET_error/s05b_head_ablation/det_4x4_error_exp_head_ablation.json,b2f7353ef5b155bad4f10eac8a2a4229,167552,results,s05b_sites,Gemma-3-27B,discovery,det,error,s05b_head_ablation,92,9,
Gemma/discovery_DET_error/s05c_head_joint/det_4x4_error_exp_head_joint_ablation.json,a59a09283d9d6e86a6e04b17d46ca96a,153170,results,s05c_groups,Gemma-3-27B,discovery,det,error,s05c_head_joint,92,13,
Gemma/discovery_DET_error/s05c_head_joint/det_4x4_error_exp_head_joint_ablation_dry_run_report.json,6323837f311bbacbc3ff6f91b3eb1436,3308,results,generic,Gemma-3-27B,discovery,det,error,s05c_head_joint,2,1,
Gemma/discovery_DET_error/s06_direction_subtraction/det_4x4_error_direction_subtraction.json,c33d57c74b64d8570c86be16e40d2322,186628,results,s06_edits,Gemma-3-27B,discovery,det,error,s06_direction_subtraction,89,39,
Gemma/discovery_DET_error/s08_c2_steering/det_4x4_error_exp_combined_ablation.json,6dc518f3de7559943faff91261d0914b,239744,results,meta_results,Gemma-3-27B,discovery,det,error,s08_c2_steering,2,110,
Gemma/discovery_DET_error/s08_c2_steering/det_4x4_error_exp_ctrl_mag.json,e40d28a58709c1ca096396400f07ab41,155956,results,meta_results,Gemma-3-27B,discovery,det,error,s08_c2_steering,2,70,
Gemma/discovery_DET_error/s09_judge/det_4x4_error_judge_candidates_armB.json,519436c6c9227ecfbc16602ae853e7f5,82227,results,meta_results,Gemma-3-27B,discovery,det,error,s09_judge,2,23,
Gemma/discovery_IBP_correct_deepsign/ibp_correct_deepsign_targets.json,4f52d418633da43d5e92cb22a95b6323,2123,config_targets,,Gemma-3-27B,discovery,ibp,correct,root,,0,
Gemma/discovery_IBP_correct_deepsign/ibp_correct_deepsign_targets_autopick_backup.json,0b1dbbca85d3eb82617d3d11bb1fd7a5,2030,config_targets,,Gemma-3-27B,discovery,ibp,correct,root,,0,
Gemma/discovery_IBP_correct_deepsign/s01_logit_lens/ibp_correct_deepsign_expA_logit_lens.json,429b8d09ae41b053b635e14a471f5de6,85123,results,lens_standard,Gemma-3-27B,discovery,ibp,correct,s01_logit_lens,50,12,
Gemma/discovery_IBP_correct_deepsign/s02_dla/ibp_correct_deepsign_expB_dla.json,f30f06558a4a47b75ffb637df5b4ba52,523817,results,dla_standard,Gemma-3-27B,discovery,ibp,correct,s02_dla,50,181,
Gemma/discovery_IBP_correct_deepsign/s02_dla/ibp_correct_deepsign_exp_matched_dla.json,22caee721d580041bc3eed49bc169412,163273,results,dla_standard,Gemma-3-27B,discovery,ibp,correct,s02_dla,50,181,
Gemma/discovery_IBP_correct_deepsign/s04_projections/ibp_correct_deepsign_projections.json,04d98fd01a2905f518e63b03b4b08073,16739,results,projections_meta,Gemma-3-27B,discovery,ibp,correct,s04_projections,2,2,
Gemma/discovery_IBP_correct_deepsign/s05_ablations/ibp_correct_deepsign_expD_prime_mlp_mean_ablation.json,c555be92c6e1f814a030665064131464,308073,results,s05_ablations,Gemma-3-27B,discovery,ibp,correct,s05_ablations,50,11,
Gemma/discovery_IBP_correct_deepsign/s05_ablations/ibp_correct_deepsign_expE_prime_joint_mean_ablation.json,b6c8c709e941faa9c9075b6802284e25,41835,results,s05_joint,Gemma-3-27B,discovery,ibp,correct,s05_ablations,51,3,
Gemma/discovery_IBP_correct_deepsign/s06_direction_subtraction/ibp_correct_deepsign_expG_prime_bias_subtraction.json,58a23867abb985c226f60e99f36f7ba0,105646,results,s06_edits,Gemma-3-27B,discovery,ibp,correct,s06_direction_subtraction,50,39,
Gemma/discovery_IBP_correct_deepsign/s08_c2_steering/ibp_correct_deepsign_c2_on_correct.json,e8495697ebc3f81734944c84e3c815e4,48496,results,meta_results,Gemma-3-27B,discovery,ibp,correct,s08_c2_steering,2,23,
Gemma/discovery_IBP_correct_deepsign/s09_judge/ibp_correct_deepsign_judge_crossdomain.json,d6ac22731f1a00e66db8cb9b2b344fb9,46835,results,meta_results,Gemma-3-27B,discovery,ibp,correct,s09_judge,2,23,
Gemma/discovery_IBP_error/groups_gemma_ibp.json,972e03ed6bf82ead0b346821d9ba8842,539,config_sites,,Gemma-3-27B,discovery,ibp,error,root,,0,
Gemma/discovery_IBP_error/ibp_error_sites.json,6a307768838745a7a457001e7f1326f1,729,config_sites,,Gemma-3-27B,discovery,ibp,error,root,,0,
Gemma/discovery_IBP_error/ibp_error_targets.json,aa4b5130815e51144ddfea1f1264a9c1,2350,config_targets,,Gemma-3-27B,discovery,ibp,error,root,,0,
Gemma/discovery_IBP_error/s01_logit_lens/ibp_error_expA_logit_lens.json,cb4724afe242b1598ada03162531d4f3,118987,results,lens_standard,Gemma-3-27B,discovery,ibp,error,s01_logit_lens,70,12,
Gemma/discovery_IBP_error/s02_dla/ibp_error_expB_dla.json,57ce305a90c2e16ce909ae36680fa9e0,732383,results,dla_standard,Gemma-3-27B,discovery,ibp,error,s02_dla,70,181,
Gemma/discovery_IBP_error/s05_ablations/ibp_error_expD_prime_mlp_mean_ablation.json,97831a733c6b82b06310de31d8661a23,423927,results,s05_ablations,Gemma-3-27B,discovery,ibp,error,s05_ablations,70,11,
Gemma/discovery_IBP_error/s05_ablations/ibp_error_expE_prime_joint_mean_ablation.json,30b549b3ef6aec8150dcc86c08c62178,60862,results,s05_joint,Gemma-3-27B,discovery,ibp,error,s05_ablations,71,3,
Gemma/discovery_IBP_error/s05b_head_ablation/ibp_error_exp_head_ablation.json,2bbcf10e151dc14d4f2d5ec235d6a5d4,127511,results,s05b_sites,Gemma-3-27B,discovery,ibp,error,s05b_head_ablation,70,9,
Gemma/discovery_IBP_error/s05c_head_joint/ibp_error_exp_head_joint_ablation.json,8b2d847560b6020b1c380519322b868c,116552,results,s05c_groups,Gemma-3-27B,discovery,ibp,error,s05c_head_joint,70,13,
Gemma/discovery_IBP_error/s05c_head_joint/ibp_error_exp_head_joint_ablation_dry_run_report.json,f488c85a6504e0a4cf966cabc3175290,3308,results,generic,Gemma-3-27B,discovery,ibp,error,s05c_head_joint,2,1,
Gemma/discovery_IBP_error/s06_direction_subtraction/ibp_error_direction_subtraction.json,c478432af68f3d8ac97a31b19b7bc920,143033,results,s06_edits,Gemma-3-27B,discovery,ibp,error,s06_direction_subtraction,68,39,
Gemma/discovery_IBP_error/s08_c2_steering/ibp_error_exp_combined_ablation.json,e24be14f1991bbc76e4b441487b22d81,184150,results,meta_results,Gemma-3-27B,discovery,ibp,error,s08_c2_steering,2,110,
Gemma/discovery_IBP_error/s08_c2_steering/ibp_error_exp_ctrl_mag.json,0c4bf1a16565c790cea79cf0e928e3bc,119468,results,meta_results,Gemma-3-27B,discovery,ibp,error,s08_c2_steering,2,70,
Gemma/discovery_IBP_error/s09_judge/ibp_error_judge_candidates_armB.json,3d9e6465213333f0a3bee1cf640ffc76,63042,results,meta_results,Gemma-3-27B,discovery,ibp,error,s09_judge,2,23,
Gemma/heldout_DET_correct_deepsign/det_4x4_correct_deepsign_targets.json,5da6c1013605cd9d0b0ed5f9ae28659f,2282,config_targets,,Gemma-3-27B,heldout,det,correct,root,,0,
Gemma/heldout_DET_correct_deepsign/s01_logit_lens/det_4x4_correct_deepsign_expA_logit_lens.json,8f0fe69af9e404549132a7aaea862252,232465,results,lens_standard,Gemma-3-27B,heldout,det,correct,s01_logit_lens,138,12,
Gemma/heldout_DET_correct_deepsign/s02_dla/det_4x4_correct_deepsign_expB_dla.json,95278c0c92601bb6efc9330614d5dfe5,1468023,results,dla_standard,Gemma-3-27B,heldout,det,correct,s02_dla,138,181,
Gemma/heldout_DET_correct_deepsign/s02_dla/det_4x4_correct_deepsign_exp_matched_dla.json,9da44c4f528ae4d938ea57eba4d11a73,451615,results,dla_standard,Gemma-3-27B,heldout,det,correct,s02_dla,138,181,
Gemma/heldout_DET_correct_deepsign/s04_projections/det_4x4_correct_deepsign_projections.json,21490400f90120923edacb003ae722c9,54663,results,projections_meta,Gemma-3-27B,heldout,det,correct,s04_projections,2,2,
Gemma/heldout_DET_correct_deepsign/s05_ablations/det_4x4_correct_deepsign_expD_prime_mlp_mean_ablation.json,218bf133d45110e3d32d3a3f2e59a71b,843553,results,s05_ablations,Gemma-3-27B,heldout,det,correct,s05_ablations,138,11,
Gemma/heldout_DET_correct_deepsign/s05_ablations/det_4x4_correct_deepsign_expE_prime_joint_mean_ablation.json,adbbf0a98b1fcaf584302e898b17d8ab,114887,results,s05_joint,Gemma-3-27B,heldout,det,correct,s05_ablations,139,3,
Gemma/heldout_DET_correct_deepsign/s06_direction_subtraction/det_4x4_correct_deepsign_expG_prime_bias_subtraction.json,f89c5dcf6187c75f59433a5cc32fc3a9,289673,results,s06_edits,Gemma-3-27B,heldout,det,correct,s06_direction_subtraction,138,39,
Gemma/heldout_DET_correct_deepsign/s08_c2_steering/det_4x4_correct_deepsign_c2_on_correct.json,5749c8433dee79439441951b6f970055,132191,results,meta_results,Gemma-3-27B,heldout,det,correct,s08_c2_steering,2,23,
Gemma/heldout_DET_correct_deepsign/s09_judge/det_4x4_correct_deepsign_judge_candidates_armA.json,8c763b2f330268a7b1a1fa9e250094b8,120526,results,meta_results,Gemma-3-27B,heldout,det,correct,s09_judge,2,17,
Gemma/heldout_DET_correct_deepsign/s09_judge/det_4x4_correct_deepsign_judge_crossdomain.json,28632096b238b61b5b6ac9b6b9f5d968,127941,results,meta_results,Gemma-3-27B,heldout,det,correct,s09_judge,2,23,
Gemma/heldout_DET_error/det_4x4_error_targets.json,5da6c1013605cd9d0b0ed5f9ae28659f,2282,config_targets,,Gemma-3-27B,heldout,det,error,root,,0,
Gemma/heldout_DET_error/s01_logit_lens/det_4x4_error_expA_logit_lens.json,cb94839dafbcd9be07e2d22b9b995beb,214728,results,lens_standard,Gemma-3-27B,heldout,det,error,s01_logit_lens,126,12,
Gemma/heldout_DET_error/s02_dla/det_4x4_error_expB_dla.json,2deb8113fca9dddccf41e3ff1c58b388,1322379,results,dla_standard,Gemma-3-27B,heldout,det,error,s02_dla,126,181,
Gemma/heldout_DET_error/s04_projections/det_4x4_error_projections.json,c5ce2ba0bfd44a2c1984c295391ac68f,48641,results,projections_meta,Gemma-3-27B,heldout,det,error,s04_projections,2,2,
Gemma/heldout_DET_error/s05_ablations/det_4x4_error_expD_prime_mlp_mean_ablation.json,67110e268db53a7fad0e34cde27d8882,773073,results,s05_ablations,Gemma-3-27B,heldout,det,error,s05_ablations,126,11,
Gemma/heldout_DET_error/s05_ablations/det_4x4_error_expE_prime_joint_mean_ablation.json,44c740605ff7b008cb53be741b10127a,102332,results,s05_joint,Gemma-3-27B,heldout,det,error,s05_ablations,127,3,
Gemma/heldout_DET_error/s05b_head_ablation/det_4x4_error_exp_head_ablation.json,242bdc2cd56ebd19ce6d42419d562ae6,148021,results,s05b_sites,Gemma-3-27B,heldout,det,error,s05b_head_ablation,126,6,
Gemma/heldout_DET_error/s05c_head_joint/det_4x4_error_exp_head_joint_ablation.json,5dddd2d134596a561c6fe7c22d84fd26,210228,results,s05c_groups,Gemma-3-27B,heldout,det,error,s05c_head_joint,126,13,
Gemma/heldout_DET_error/s06_direction_subtraction/det_4x4_error_expG_prime_bias_subtraction.json,541207ec7c90517e7d7b822f0df33957,264414,results,s06_edits,Gemma-3-27B,heldout,det,error,s06_direction_subtraction,126,39,
Gemma/heldout_DET_error/s08_c2_steering/det_4x4_error_exp_combined_ablation.json,201dececd8b83921f6fb24d6528f7a44,339307,results,meta_results,Gemma-3-27B,heldout,det,error,s08_c2_steering,2,110,
Gemma/heldout_DET_error/s08_c2_steering/det_4x4_error_exp_ctrl_mag.json,e80c464a26f378aaf14fb648e96ef9d8,220973,results,meta_results,Gemma-3-27B,heldout,det,error,s08_c2_steering,2,70,
Gemma/heldout_DET_error/s09_judge/det_4x4_error_judge_candidates_armB.json,4b76203e50b9e0b041a7c18d5e66ea17,117195,results,meta_results,Gemma-3-27B,heldout,det,error,s09_judge,2,23,
Gemma/heldout_IBP_correct_deepsign/ibp_correct_deepsign_targets.json,aa4b5130815e51144ddfea1f1264a9c1,2350,config_targets,,Gemma-3-27B,heldout,ibp,correct,root,,0,
Gemma/heldout_IBP_correct_deepsign/s01_logit_lens/ibp_correct_deepsign_expA_logit_lens.json,3f7bd6eb42d40897d5b7250fed26b84e,254821,results,lens_standard,Gemma-3-27B,heldout,ibp,correct,s01_logit_lens,150,11,
Gemma/heldout_IBP_correct_deepsign/s02_dla/ibp_correct_deepsign_expB_dla.json,8690d24a1f1f00fe4171f3140a430734,1595584,results,dla_standard,Gemma-3-27B,heldout,ibp,correct,s02_dla,150,160,
Gemma/heldout_IBP_correct_deepsign/s02_dla/ibp_correct_deepsign_exp_matched_dla.json,99b1493e4e9addac3c3649f998a517fa,490353,results,dla_standard,Gemma-3-27B,heldout,ibp,correct,s02_dla,150,160,
Gemma/heldout_IBP_correct_deepsign/s04_projections/ibp_correct_deepsign_projections.json,5975830173614689fef58a1754296409,59004,results,projections_meta,Gemma-3-27B,heldout,ibp,correct,s04_projections,2,2,
Gemma/heldout_IBP_correct_deepsign/s05_ablations/ibp_correct_deepsign_expD_prime_mlp_mean_ablation.json,155cb64a900086107a66463ed79ea862,913924,results,s05_ablations,Gemma-3-27B,heldout,ibp,correct,s05_ablations,150,11,
Gemma/heldout_IBP_correct_deepsign/s05_ablations/ibp_correct_deepsign_expE_prime_joint_mean_ablation.json,98922cf25564608736b61b5ba40a5f83,125522,results,s05_joint,Gemma-3-27B,heldout,ibp,correct,s05_ablations,151,3,
Gemma/heldout_IBP_correct_deepsign/s06_direction_subtraction/ibp_correct_deepsign_expG_prime_bias_subtraction.json,9ea6172a3c28c39cc1a386a654887f11,317816,results,s06_edits,Gemma-3-27B,heldout,ibp,correct,s06_direction_subtraction,150,39,
Gemma/heldout_IBP_correct_deepsign/s08_c2_steering/ibp_correct_deepsign_c2_on_correct.json,5280c0b86456e72faa3d1edcdc45997c,144781,results,meta_results,Gemma-3-27B,heldout,ibp,correct,s08_c2_steering,2,23,
Gemma/heldout_IBP_correct_deepsign/s09_judge/ibp_correct_deepsign_judge_candidates_armA.json,776863ec2d79654a313cc7f11b81a2b0,131945,results,meta_results,Gemma-3-27B,heldout,ibp,correct,s09_judge,2,17,
Gemma/heldout_IBP_correct_deepsign/s09_judge/ibp_correct_deepsign_judge_crossdomain.json,d13d15d1dd7357bef52384afdcc41be7,140644,results,meta_results,Gemma-3-27B,heldout,ibp,correct,s09_judge,2,23,
Gemma/heldout_IBP_error/ibp_error_targets.json,aa4b5130815e51144ddfea1f1264a9c1,2350,config_targets,,Gemma-3-27B,heldout,ibp,error,root,,0,
Gemma/heldout_IBP_error/s01_logit_lens/ibp_error_expA_logit_lens.json,aca0f40c0857c3dfd306c8db1b31bd6e,123851,results,lens_standard,Gemma-3-27B,heldout,ibp,error,s01_logit_lens,73,12,
Gemma/heldout_IBP_error/s02_dla/ibp_error_expB_dla.json,e3a741d83777ae0c2214d7589517c4c7,763983,results,dla_standard,Gemma-3-27B,heldout,ibp,error,s02_dla,73,181,
Gemma/heldout_IBP_error/s04_projections/ibp_error_projections.json,91def35d21038a45bcf67b99cf3f2e65,28062,results,projections_meta,Gemma-3-27B,heldout,ibp,error,s04_projections,2,2,
Gemma/heldout_IBP_error/s05_ablations/ibp_error_expD_prime_mlp_mean_ablation.json,2061baaf0abbe50cf2668d7f0d2eee41,441121,results,s05_ablations,Gemma-3-27B,heldout,ibp,error,s05_ablations,73,11,
Gemma/heldout_IBP_error/s05_ablations/ibp_error_expE_prime_joint_mean_ablation.json,837772769d76067f20102d3efd02bb2a,59746,results,s05_joint,Gemma-3-27B,heldout,ibp,error,s05_ablations,74,3,
Gemma/heldout_IBP_error/s05b_head_ablation/ibp_error_exp_head_ablation.json,1277272ef6cc26bd5807eabbc84dc7e1,85183,results,s05b_sites,Gemma-3-27B,heldout,ibp,error,s05b_head_ablation,73,6,
Gemma/heldout_IBP_error/s05c_head_joint/ibp_error_exp_head_joint_ablation.json,2d0cdbe4526883973fa64408cc581b63,121309,results,s05c_groups,Gemma-3-27B,heldout,ibp,error,s05c_head_joint,73,13,
Gemma/heldout_IBP_error/s06_direction_subtraction/ibp_error_expG_prime_bias_subtraction.json,a0b0b0a61c27b8a3925c2ef431b84417,151085,results,s06_edits,Gemma-3-27B,heldout,ibp,error,s06_direction_subtraction,72,39,
Gemma/heldout_IBP_error/s08_c2_steering/ibp_error_exp_combined_ablation.json,c69e13511a199ccec45a6fcb04b68c35,194309,results,meta_results,Gemma-3-27B,heldout,ibp,error,s08_c2_steering,2,110,
Gemma/heldout_IBP_error/s08_c2_steering/ibp_error_exp_ctrl_mag.json,1f0efcafad43646a643b285079aeef4c,126298,results,meta_results,Gemma-3-27B,heldout,ibp,error,s08_c2_steering,2,70,
Gemma/heldout_IBP_error/s09_judge/ibp_error_judge_candidates_armB.json,10260e7a757313887f6eadda92a11e61,66912,results,meta_results,Gemma-3-27B,heldout,ibp,error,s09_judge,2,23,
Gemma/raw_data_DET/discovery/gemma_det4x4_correct_train_discovery_n50_deepsign_rolematched.csv,0faa84002f1c50c48efe78c6b3c6337a,8505,raw_data,,n/a,n/a,n/a,n/a,n/a,,0,
Gemma/raw_data_DET/discovery/gemma_det4x4_error_train_discovery_n92.csv,dc39bf5df2555be8c8eef1f05561c324,370010,raw_data,,n/a,n/a,n/a,n/a,n/a,,0,
Gemma/raw_data_DET/heldout/gemma_det4x4_correct_validation_heldout_n138.csv,e4a75ea45643376361a9a03048d19be7,536954,raw_data,,n/a,n/a,n/a,n/a,n/a,,0,
Gemma/raw_data_DET/heldout/gemma_det4x4_error_validation_heldout_n126.csv,593951e21755782ef333ee87e5c64ad2,523257,raw_data,,n/a,n/a,n/a,n/a,n/a,,0,
Gemma/raw_data_IBP/discovery/gemma_ibp_correct_train_discovery_n50_deepsign_rolematched.csv,c572dd2025efbc9ebce6b6534692a185,8919,raw_data,,n/a,n/a,n/a,n/a,n/a,,0,
Gemma/raw_data_IBP/discovery/gemma_ibp_error_train_discovery_n70.csv,810780ec5d318d66bf60c72bc31f14e1,557605,raw_data,,n/a,n/a,n/a,n/a,n/a,,0,
Gemma/raw_data_IBP/heldout/gemma_ibp_correct_validation_heldout_n150.csv,b21682187e47c1ef7d474f8cc99b8a7c,1321980,raw_data,,n/a,n/a,n/a,n/a,n/a,,0,
Gemma/raw_data_IBP/heldout/gemma_ibp_error_validation_heldout_n73.csv,69074188bc1c3943aacb81d1b5edf47c,591041,raw_data,,n/a,n/a,n/a,n/a,n/a,,0,
LICENSE,1c2459d6aa3edc32848955344c899bc7,1326,repo_meta,,n/a,n/a,n/a,n/a,n/a,,0,
Llama/arith_control/expA_logit_lens.json,c5810c6d3cdb00422c1134ca20ec9a06,99051,results,lens_standard,Llama-3.3-70B,control,arith,n/a,root,48,12,
Llama/arith_control/expB_dla.json,b48bc19503cbdf7e7d0b5a0d66bcc994,886325,results,dla_standard,Llama-3.3-70B,control,arith,n/a,root,48,204,
Llama/discovery_4x4_DET/s01_logit_lens/llama_correct_logit_lens.json,cc3d09717f958dbd1264d20b9cf72f57,166401,results,lens_standard,Llama-3.3-70B,discovery,det,correct,s01_logit_lens,80,12,
Llama/discovery_4x4_DET/s01_logit_lens/llama_error_logit_lens.json,24409129d751c50ade3bcbc9f9a1d9bf,33342,results,lens_standard,Llama-3.3-70B,discovery,det,error,s01_logit_lens,16,12,
Llama/discovery_4x4_DET/s02_dla/llama_correct_dla.json,ded7ddf1088ae32258b9da383cedc68a,1480311,results,dla_standard,Llama-3.3-70B,discovery,det,correct,s02_dla,80,204,
Llama/discovery_4x4_DET/s02_dla/llama_error_dla.json,d7416c46c4fee4994348f9554f740ad4,295934,results,dla_standard,Llama-3.3-70B,discovery,det,error,s02_dla,16,204,
Llama/discovery_4x4_DET/s04_projections/llama_correct_projections.json,6cbe2f82de78bba5336ee095c5f47626,29390,results,projections_meta,Llama-3.3-70B,discovery,det,correct,s04_projections,2,2,
Llama/discovery_4x4_DET/s04_projections/llama_error_projections.json,e785a9d0c225396bee675e8b02fda998,6162,results,projections_meta,Llama-3.3-70B,discovery,det,error,s04_projections,2,2,
Llama/discovery_4x4_DET/s05_ablations/llama_correct_habit_ablation.json,2d77330ea7da39c9bfe8772328b7200e,939128,results,s05_ablations,Llama-3.3-70B,discovery,det,correct,s05_ablations,80,11,
Llama/discovery_4x4_DET/s05_ablations/llama_correct_joint_ablation.json,f491ad74d6ef04c3c2d2bf78a1d9fe66,64973,results,s05_joint,Llama-3.3-70B,discovery,det,correct,s05_ablations,81,3,
Llama/discovery_4x4_DET/s05_ablations/llama_error_habit_ablation.json,2cafdded215fab29af182f8789967705,194698,results,s05_ablations,Llama-3.3-70B,discovery,det,error,s05_ablations,16,11,
Llama/discovery_4x4_DET/s05_ablations/llama_error_joint_ablation.json,fe77f292303c4940690332904a8bd337,13829,results,s05_joint,Llama-3.3-70B,discovery,det,error,s05_ablations,17,3,
Llama/discovery_4x4_DET/s06_direction_subtraction/llama_correct_bias_subtraction.json,0ca64a9579c9eeb8ff5edcb461370ae8,168273,results,s06_edits,Llama-3.3-70B,discovery,det,correct,s06_direction_subtraction,80,39,
Llama/discovery_4x4_DET/s06_direction_subtraction/llama_error_bias_subtraction.json,4771187a684eea8707c1f7e9eb4fdfec,31432,results,s06_edits,Llama-3.3-70B,discovery,det,error,s06_direction_subtraction,15,39,
Llama/discovery_4x4_DET/s07_patching/llama_error_correct_mean_patch.json,ac624f3c9c985b94e2c3584278278411,12591,results,s07_patches,Llama-3.3-70B,discovery,det,error,s07_patching,15,11,
Llama/discovery_4x4_DET/s07_patching/llama_error_reverse_patch.json,6de7d7546a8c1b841509eb192fdda096,45217,results,s07_patches,Llama-3.3-70B,discovery,det,error,s07_patching,80,10,
Llama/discovery_4x4_DET/s07_patching/llama_error_signmatched_patch.json,81fd654c115a77057cebefe2ef396f15,17736,results,meta_results,Llama-3.3-70B,discovery,det,error,s07_patching,2,20,
Llama/discovery_4x4_DET/s08_c2_steering/llama_correct_c2_on_correct.json,7011458a0be4eb31c52ba3b27827301e,76818,results,meta_results,Llama-3.3-70B,discovery,det,correct,s08_c2_steering,2,23,
Llama/discovery_4x4_DET/s09_judge/llama_correct_judge_candidates_armA.json,123b511e5effa1113f9f48d3ee955d7e,69989,results,meta_results,Llama-3.3-70B,discovery,det,correct,s09_judge,2,17,
Llama/discovery_4x4_DET/s09_judge/llama_error_judge_candidates_armB.json,c3ec3453ce852d40103ac7e2b06453d2,14038,results,meta_results,Llama-3.3-70B,discovery,det,error,s09_judge,2,23,
Llama/discovery_IBP/ibp_correct_targets.json,0e7385c44f78b58eef447f3541d89ec7,1523,config_targets,,Llama-3.3-70B,discovery,ibp,correct,root,,0,
Llama/discovery_IBP/ibp_error_targets.json,4ba9c4fddf033364497a6694b7bd8a19,2849,config_targets,,Llama-3.3-70B,discovery,ibp,error,root,,0,
Llama/discovery_IBP/s01_logit_lens/ibp_correct_expA_logit_lens.json,185ccda2f1e42ec4ca1e857041fb37cc,47389,results,lens_standard,Llama-3.3-70B,discovery,ibp,correct,s01_logit_lens,23,11,
